transaction_id,transaction_type,network_provider,district,hour_of_day,amount_ugx,sender_age,account_age_days,prev_txn_count_30d,failed_pin_attempts,is_new_recipient,same_network,device_change,is_weekend,is_night,is_fraud
TXN000001,SACCO Withdrawal,Airtel Money,Mbarara,20,531101,41,1222,6,0,1,1,0,1,0,0
TXN000002,Bill Payment,SACCO Account,Kampala,13,206005,57,3446,6,0,0,1,0,1,0,0
TXN000003,Mobile Money Deposit,MTN MoMo,Lira,16,124059,38,1602,9,1,0,0,0,0,0,0
TXN000004,SACCO Deposit,Airtel Money,Gulu,12,13047,46,2612,7,0,0,1,0,1,0,0
TXN000005,Mobile Money Transfer,Airtel Money,Kampala,15,30792,68,3201,6,0,1,1,0,1,0,0
TXN000006,Mobile Money Transfer,SACCO Account,Fort Portal,11,37140,74,2462,13,0,1,1,0,0,0,0
TXN000007,Mobile Money Transfer,SACCO Account,Mukono,10,44733,40,3452,9,0,0,0,0,0,0,0
TXN000008,Loan Repayment,MTN MoMo,Kampala,14,125001,50,880,4,0,0,1,0,1,0,0
TXN000009,SACCO Deposit,Airtel Money,Gulu,13,105167,25,993,15,0,0,0,0,1,0,0
TXN000010,Mobile Money Deposit,MTN MoMo,Kampala,14,34065,59,1,10,0,0,1,0,0,0,1
TXN000011,Mobile Money Transfer,Airtel Money,Mbale,10,10492,30,167,6,0,0,1,0,0,0,0
TXN000012,Bill Payment,MTN MoMo,Mbale,11,28208,22,2064,10,0,0,0,1,0,0,0
TXN000013,Loan Repayment,MTN MoMo,Fort Portal,6,623893,71,2705,11,0,0,0,0,1,0,0
TXN000014,Mobile Money Transfer,MTN MoMo,Mukono,5,94821,58,112,14,0,0,0,0,0,1,0
TXN000015,Mobile Money Transfer,Airtel Money,Mukono,9,303001,27,3440,5,0,0,0,0,0,0,0
TXN000016,Mobile Money Transfer,MTN MoMo,Jinja,6,283326,31,1126,7,0,0,0,0,1,0,0
TXN000017,SACCO Withdrawal,Airtel Money,Kampala,7,37730,41,2642,5,0,1,1,0,0,0,0
TXN000018,SACCO Deposit,MTN MoMo,Mukono,18,183978,28,1430,6,0,0,0,0,0,0,0
TXN000019,SACCO Withdrawal,MTN MoMo,Mukono,3,95911,63,2006,13,0,0,0,0,1,1,0
TXN000020,Mobile Money Transfer,SACCO Account,Kampala,15,174904,20,2044,14,0,1,1,0,0,0,0
TXN000021,SACCO Deposit,MTN MoMo,Wakiso,10,47697,46,507,9,1,1,1,0,1,0,0
TXN000022,Mobile Money Transfer,MTN MoMo,Lira,19,267624,70,1635,6,0,0,0,0,0,0,0
TXN000023,Mobile Money Transfer,Airtel Money,Lira,13,13116,65,671,10,3,0,1,0,1,0,0
TXN000024,SACCO Withdrawal,MTN MoMo,Kampala,10,1829515,69,3112,12,0,0,1,0,0,0,0
TXN000025,SACCO Withdrawal,MTN MoMo,Kampala,13,289456,47,1691,13,0,0,1,0,0,0,0
TXN000026,Mobile Money Deposit,MTN MoMo,Kampala,11,319533,66,3620,5,0,1,1,0,1,0,0
TXN000027,Mobile Money Transfer,SACCO Account,Lira,14,54405,54,3453,4,0,0,1,1,1,0,0
TXN000028,SACCO Deposit,Airtel Money,Kampala,7,159368,24,2807,8,0,0,0,1,0,0,0
TXN000029,SACCO Deposit,Airtel Money,Jinja,23,100269,34,3588,11,0,0,0,1,1,1,0
TXN000030,Mobile Money Transfer,Airtel Money,Kampala,12,68428,37,2545,9,0,1,1,1,0,0,0
TXN000031,SACCO Deposit,MTN MoMo,Gulu,11,155532,71,965,9,0,0,1,0,0,0,0
TXN000032,Mobile Money Transfer,MTN MoMo,Wakiso,16,442107,28,281,12,2,0,0,0,1,0,0
TXN000033,Mobile Money Transfer,SACCO Account,Mbale,11,6322,61,351,7,3,0,0,0,0,0,0
TXN000034,Bill Payment,MTN MoMo,Kampala,18,376724,42,2382,8,0,0,1,0,0,0,0
TXN000035,Bill Payment,MTN MoMo,Mbarara,12,140888,41,1950,8,0,0,1,0,0,0,0
TXN000036,Mobile Money Deposit,MTN MoMo,Kampala,16,247004,19,1967,4,0,1,1,0,0,0,1
TXN000037,SACCO Withdrawal,MTN MoMo,Jinja,7,136077,44,2809,7,0,0,1,1,1,0,0
TXN000038,Mobile Money Transfer,SACCO Account,Lira,18,95754,36,1548,7,0,1,0,0,0,0,0
TXN000039,Mobile Money Deposit,MTN MoMo,Kampala,17,304713,46,1307,13,0,1,0,0,0,0,0
TXN000040,SACCO Withdrawal,Airtel Money,Lira,9,115866,54,1965,7,0,0,0,0,0,0,0
TXN000041,Mobile Money Transfer,MTN MoMo,Gulu,8,114748,28,728,9,0,0,1,0,1,0,0
TXN000042,SACCO Withdrawal,SACCO Account,Kampala,10,221363,72,3391,7,2,0,1,0,0,0,0
TXN000043,Mobile Money Transfer,MTN MoMo,Wakiso,22,25903,36,823,10,1,0,1,0,0,1,0
TXN000044,Loan Repayment,MTN MoMo,Kampala,10,153952,45,1438,7,0,1,0,0,0,0,0
TXN000045,Mobile Money Transfer,Airtel Money,Mbarara,12,189334,56,2062,11,0,0,1,0,0,0,0
TXN000046,SACCO Deposit,Airtel Money,Jinja,2,131057,38,1080,5,1,0,1,0,0,1,0
TXN000047,SACCO Withdrawal,MTN MoMo,Kampala,11,252111,43,3475,10,0,0,1,0,0,0,0
TXN000048,SACCO Deposit,MTN MoMo,Mukono,14,88428,39,2390,10,0,1,1,1,0,0,1
TXN000049,SACCO Deposit,MTN MoMo,Mbale,21,65798,23,199,6,1,1,1,0,0,0,0
TXN000050,Mobile Money Transfer,MTN MoMo,Arua,13,102676,28,1884,9,0,0,1,0,0,0,0
TXN000051,Bill Payment,MTN MoMo,Mukono,18,306413,31,678,10,1,1,1,0,0,0,0
TXN000052,Mobile Money Deposit,Airtel Money,Fort Portal,14,224324,53,3364,10,0,1,1,0,0,0,1
TXN000053,Bill Payment,MTN MoMo,Mukono,3,13159,57,2706,5,1,0,1,0,0,1,0
TXN000054,Loan Repayment,MTN MoMo,Wakiso,10,331513,58,1465,13,0,0,0,1,1,0,0
TXN000055,SACCO Deposit,Airtel Money,Mbale,14,95733,19,78,6,0,0,1,0,1,0,0
TXN000056,Loan Repayment,SACCO Account,Mukono,21,204306,74,2160,6,0,0,0,0,1,0,0
TXN000057,Mobile Money Transfer,Airtel Money,Mukono,19,22630,60,535,6,0,0,1,0,0,0,0
TXN000058,Mobile Money Transfer,MTN MoMo,Mukono,9,166627,37,1399,8,0,1,1,0,0,0,0
TXN000059,Mobile Money Transfer,MTN MoMo,Mbale,9,40442,39,3188,7,0,0,1,0,1,0,0
TXN000060,SACCO Withdrawal,SACCO Account,Mbale,9,415563,56,1166,10,0,0,1,0,0,0,0
TXN000061,SACCO Withdrawal,MTN MoMo,Wakiso,20,1521426,21,3040,8,2,0,0,0,0,0,0
TXN000062,Mobile Money Transfer,MTN MoMo,Wakiso,19,24662,73,1221,8,0,0,1,0,0,0,0
TXN000063,Mobile Money Deposit,Airtel Money,Mukono,17,14490,46,790,5,0,0,1,0,1,0,0
TXN000064,SACCO Withdrawal,Airtel Money,Gulu,11,520368,63,1564,8,0,0,1,0,0,0,0
TXN000065,Mobile Money Transfer,Airtel Money,Kampala,13,15807,41,1323,9,0,0,1,0,1,0,0
TXN000066,SACCO Deposit,MTN MoMo,Mbale,12,176605,18,1100,4,0,0,0,0,0,0,1
TXN000067,Mobile Money Transfer,MTN MoMo,Mukono,9,4420,41,2578,11,0,0,1,0,0,0,0
TXN000068,Mobile Money Deposit,SACCO Account,Wakiso,13,144248,47,2148,10,0,0,1,1,1,0,0
TXN000069,Mobile Money Transfer,MTN MoMo,Kampala,2,22747,29,1503,12,0,1,0,0,0,1,0
TXN000070,Bill Payment,Airtel Money,Kampala,8,435504,36,3021,4,0,0,1,0,0,0,0
TXN000071,Mobile Money Deposit,Airtel Money,Arua,19,405670,54,1492,12,2,0,1,0,0,0,0
TXN000072,Mobile Money Transfer,Airtel Money,Wakiso,17,38331,57,1660,11,0,1,1,0,0,0,0
TXN000073,Mobile Money Transfer,MTN MoMo,Kampala,12,142951,60,1901,11,0,0,1,0,1,0,0
TXN000074,Mobile Money Deposit,MTN MoMo,Mukono,13,4261,71,1316,9,1,0,0,0,1,0,0
TXN000075,Mobile Money Deposit,Airtel Money,Wakiso,11,402771,21,3063,10,0,1,1,0,0,0,0
TXN000076,Mobile Money Deposit,SACCO Account,Kampala,17,111032,32,125,6,0,1,1,1,0,0,1
TXN000077,Mobile Money Deposit,SACCO Account,Wakiso,17,6628,37,3063,6,0,0,0,0,1,0,0
